ac_year,age,state_cd,state_name,district_cd,district_name,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2012-13,4,1,Jammu & Kashmir,101,KUPWARA,1171,0,0,0,0,0,0,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,102,BARAMULA,101,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,103,SRINAGAR,140,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,104,BADGAM,1826,0,0,0,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,105,PULWAMA,807,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,106,ANANTNAG,660,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,107,LEH (LADAKH),0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,108,KARGIL,41,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,109,DODA,173,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,110,UDHAMPUR,52,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,111,PUNCH,2381,0,0,0,0,0,0,0,0,0,0,0,2123,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,112,RAJAURI,1937,0,0,0,0,0,0,0,0,0,0,0,1624,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,113,JAMMU,322,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,114,KATHUA,109,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,115,SHOPIAN,495,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,116,BANDIPORA,419,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,117,KISHTWAR,383,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,118,RAMBAN,193,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,119,GANDERBAL,185,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,120,KULGAM,1485,0,0,0,0,0,0,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,121,REASI,89,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,1,Jammu & Kashmir,122,SAMBA,1835,0,0,0,0,0,0,0,0,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,2,Himachal Pradesh,201,CHAMBA,113,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
2012-13,4,2,Himachal Pradesh,202,KANGRA,775,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0
